Relative Time (s),src IP,dst IP,IP protocol,TCP src port,TCP dst port,UDP src port,UDP dst port,Frame Length
14.78758753,IP B,IP A,6,443,6138,,,78
14.78759437,IP A,IP B,6,6138,443,,,1494
14.78760169,IP B,IP A,6,443,6138,,,78
14.78761657,IP A,IP B,6,6138,443,,,1494
14.78762502,IP B,IP A,6,443,6138,,,66
14.78770613,IP A,IP B,6,6138,443,,,2350
14.78771316,IP B,IP A,6,443,6138,,,66
14.79374924,IP A,IP B,6,6231,443,,,66
14.79481143,IP A,IP B,6,6231,443,,,66
14.79601874,IP A,IP B,6,6231,443,,,196
14.7960306,IP B,IP A,6,443,6231,,,66
14.79693158,IP B,IP A,6,443,6231,,,172
14.79930887,IP B,IP A,6,443,6138,,,2922
14.79931992,IP B,IP A,6,443,6138,,,2922
14.79937376,IP B,IP A,6,443,6138,,,2570
14.79945875,IP B,IP A,6,443,6138,,,2922
14.79950947,IP B,IP A,6,443,6138,,,418
14.80964284,IP C,IP B,6,48018,443,,,2962
14.80965724,IP B,IP C,6,443,48018,,,66
14.80967108,IP C,IP B,6,48018,443,,,1514
14.80969316,IP C,IP B,6,48018,443,,,1514
14.80970332,IP B,IP C,6,443,48018,,,66
14.80974783,IP C,IP B,6,48018,443,,,2997
14.80975354,IP B,IP C,6,443,48018,,,66
14.80990306,IP B,IP C,6,443,48018,,,101
14.80994236,IP C,IP B,6,48018,443,,,578
14.81136298,IP C,IP B,6,48018,443,,,66
14.81307397,IP B,IP C,6,443,48018,,,7306
14.8130857,IP B,IP C,6,443,48018,,,1042
14.81321827,IP B,IP C,6,443,48018,,,5858
14.81464714,IP C,IP B,6,48018,443,,,66
14.8146573,IP B,IP C,6,443,48018,,,2099
14.81466636,IP C,IP B,6,48018,443,,,66
14.8147478,IP C,IP B,6,48018,443,,,66
14.81477182,IP C,IP B,6,48018,443,,,66
14.81617307,IP C,IP B,6,48018,443,,,66
14.82544251,IP A,IP B,6,6138,443,,,66
14.83813474,IP A,IP B,6,6138,443,,,66
14.83814452,IP A,IP B,6,6138,443,,,66
14.83814729,IP A,IP B,6,6138,443,,,66
14.8384028,IP A,IP B,6,6138,443,,,66
14.83840629,IP A,IP B,6,6138,443,,,66
14.84016067,IP A,IP B,6,6138,443,,,66
14.84678793,IP A,IP B,6,8864,22,,,66
14.86053303,IP A,IP B,6,6231,443,,,66
14.9825739,IP A,IP B,17,,,6233,10000,146
14.98526387,IP A,IP B,6,6234,443,,,78
14.98529371,IP B,IP A,6,443,6234,,,74
14.9881883,IP B,IP A,17,,,10000,6233,146
15.03402672,IP C,IP B,6,48018,443,,,2962
15.03405692,IP B,IP C,6,443,48018,,,66
15.03408195,IP C,IP B,6,48018,443,,,4410
15.03409074,IP B,IP C,6,443,48018,,,66
15.03414025,IP C,IP B,6,48018,443,,,1514
15.0342429,IP C,IP B,6,48018,443,,,2985
15.03424297,IP C,IP B,6,48018,443,,,1514
15.03425122,IP B,IP C,6,443,48018,,,66
15.03426051,IP C,IP B,6,48018,443,,,686
15.03426383,IP B,IP C,6,443,48018,,,66
15.03443653,IP B,IP C,6,443,48018,,,101
15.03444983,IP A,IP B,17,,,6233,10000,201
15.03592505,IP C,IP B,6,48018,443,,,66
15.03935781,IP B,IP C,6,443,48018,,,4310
15.04092384,IP C,IP B,6,48018,443,,,66
15.04093156,IP C,IP B,6,48018,443,,,66
15.05241475,IP C,IP B,6,50984,443,,,74
15.05244015,IP B,IP C,6,443,50984,,,74
15.05375374,IP A,IP B,6,6234,443,,,66
15.05390811,IP C,IP B,6,50984,443,,,66
15.05603373,IP A,IP B,6,6234,443,,,609
15.05604494,IP B,IP A,6,443,6234,,,66
15.05699006,IP B,IP A,6,443,6234,,,307
15.07976574,IP C,IP B,6,50986,443,,,74
15.07978467,IP B,IP C,6,443,50986,,,74
15.08145886,IP A,IP B,17,,,6233,10000,146
15.081887,IP B,IP A,17,,,10000,6233,146
15.08243132,IP C,IP B,6,50986,443,,,66
15.09619642,IP C,IP B,6,50984,443,,,609
15.09621113,IP B,IP C,6,443,50984,,,66
15.09713282,IP B,IP C,6,443,50984,,,307
15.0986586,IP C,IP B,6,50984,443,,,66
15.12548861,IP A,IP B,6,6234,443,,,66
15.12549895,IP A,IP B,6,6234,443,,,146
15.12550546,IP B,IP A,6,443,6234,,,66
15.12572456,IP A,IP B,6,6234,443,,,116
15.125731,IP B,IP A,6,443,6234,,,66
15.12574625,IP B,IP A,6,443,6234,,,305
15.12617986,IP B,IP A,6,443,6234,,,176
15.12888855,IP C,IP B,6,50986,443,,,609
15.12890188,IP B,IP C,6,443,50986,,,66
15.12962969,IP B,IP C,6,443,50986,,,307
15.13104603,IP A,IP B,17,,,6233,10000,146
15.13150984,IP B,IP A,17,,,10000,6233,146
15.13228339,IP C,IP B,6,50986,443,,,66
15.13308995,IP C,IP B,6,48018,443,,,278
15.13327774,IP B,IP C,6,443,48018,,,101
15.13478117,IP C,IP B,6,48018,443,,,66
15.14014875,IP A,IP B,17,,,6233,10000,201
15.1538503,IP C,IP B,6,50984,443,,,146
